series,c,loglik_exact,c_true,phi,nu
Serie_3,0.405050505050505,-1629.0548173961024,0.2,0.8,2.5
Serie_3,0.4146464646464646,-1633.7759122700281,0.2,0.8,2.5
Serie_3,0.4242424242424242,-1638.5400413657653,0.2,0.8,2.5
Serie_3,0.4338383838383838,-1643.3430671292276,0.2,0.8,2.5
Serie_3,0.4434343434343434,-1648.1812209636025,0.2,0.8,2.5
Serie_3,0.453030303030303,-1653.0510645810307,0.2,0.8,2.5
Serie_3,0.4626262626262626,-1657.94945607001,0.2,0.8,2.5
Serie_3,0.47222222222222215,-1662.8735200221008,0.2,0.8,2.5
Serie_3,0.48181818181818176,-1667.820621163886,0.2,0.8,2.5
Serie_3,0.49141414141414136,-1672.7883410248876,0.2,0.8,2.5
Serie_3,0.501010101010101,-1677.7744572425445,0.2,0.8,2.5
Serie_3,0.5106060606060606,-1682.776925164093,0.2,0.8,2.5
Serie_3,0.5202020202020202,-1687.7938614545358,0.2,0.8,2.5
Serie_3,0.5297979797979798,-1692.82352946089,0.2,0.8,2.5
Serie_3,0.5393939393939394,-1697.8643261181319,0.2,0.8,2.5
Serie_3,0.548989898989899,-1702.914770211462,0.2,0.8,2.5
Serie_3,0.5585858585858586,-1707.9734918344882,0.2,0.8,2.5
Serie_3,0.5681818181818182,-1713.0392229044605,0.2,0.8,2.5
Serie_3,0.5777777777777778,-1718.1107886134625,0.2,0.8,2.5
Serie_3,0.5873737373737373,-1723.1870997102785,0.2,0.8,2.5
Serie_3,0.5969696969696969,-1728.2671455208622,0.2,0.8,2.5
Serie_3,0.6065656565656565,-1733.349987626736,0.2,0.8,2.5
Serie_3,0.6161616161616161,-1738.4347541306506,0.2,0.8,2.5
Serie_3,0.6257575757575757,-1743.520634447261,0.2,0.8,2.5
Serie_3,0.6353535353535353,-1748.6068745640125,0.2,0.8,2.5
Serie_3,0.6449494949494949,-1753.6927727239301,0.2,0.8,2.5
Serie_3,0.6545454545454545,-1758.7776754873682,0.2,0.8,2.5
Serie_3,0.6641414141414141,-1763.8609741349744,0.2,0.8,2.5
Serie_3,0.6737373737373737,-1768.942101378078,0.2,0.8,2.5
Serie_3,0.6833333333333333,-1774.0205283465987,0.2,0.8,2.5
Serie_3,0.692929292929293,-1779.0957618279183,0.2,0.8,2.5
Serie_3,0.7025252525252526,-1784.1673417327136,0.2,0.8,2.5
Serie_3,0.7121212121212122,-1789.2348387667341,0.2,0.8,2.5
Serie_3,0.7217171717171718,-1794.2978522893397,0.2,0.8,2.5
Serie_3,0.7313131313131314,-1799.3560083417995,0.2,0.8,2.5
Serie_3,0.740909090909091,-1804.4089578300977,0.2,0.8,2.5
Serie_3,0.7505050505050505,-1809.456374848379,0.2,0.8,2.5
Serie_3,0.76010101010101,-1814.497955130778,0.2,0.8,2.5
Serie_3,0.7696969696969697,-1819.5334146204045,0.2,0.8,2.5
Serie_3,0.7792929292929293,-1824.5624881454205,0.2,0.8,2.5
Serie_3,0.7888888888888889,-1829.5849281931287,0.2,0.8,2.5
Serie_3,0.7984848484848485,-1834.6005037738198,0.2,0.8,2.5
Serie_3,0.8080808080808081,-1839.6089993669602,0.2,0.8,2.5
Serie_3,0.8176767676767677,-1844.6102139429054,0.2,0.8,2.5
Serie_3,0.8272727272727273,-1849.60396005407,0.2,0.8,2.5
Serie_3,0.8368686868686869,-1854.590062989895,0.2,0.8,2.5
Serie_3,0.8464646464646465,-1859.5683599905965,0.2,0.8,2.5
