series,nu,loglik_exact,nu_true,phi,c
Serie_1,3.5114093959731543,-2952.5879641290953,2.5,0.965,0.2
Serie_1,3.530201342281879,-2952.7525382040412,2.5,0.965,0.2
Serie_1,3.548993288590604,-2952.920814317143,2.5,0.965,0.2
Serie_1,3.567785234899328,-2953.092789405342,2.5,0.965,0.2
Serie_1,3.586577181208053,-2953.2684604086116,2.5,0.965,0.2
Serie_1,3.605369127516778,-2953.4478242698115,2.5,0.965,0.2
Serie_1,3.624161073825503,-2953.630877934743,2.5,0.965,0.2
Serie_1,3.642953020134228,-2953.8176183520873,2.5,0.965,0.2
Serie_1,3.661744966442953,-2954.0080424733337,2.5,0.965,0.2
Serie_1,3.680536912751678,-2954.2021472527867,2.5,0.965,0.2
Serie_1,3.6993288590604028,-2954.3999296475345,2.5,0.965,0.2
Serie_1,3.7181208053691277,-2954.6013866174494,2.5,0.965,0.2
Serie_1,3.7369127516778518,-2954.806515125072,2.5,0.965,0.2
Serie_1,3.7557046979865767,-2955.015312135668,2.5,0.965,0.2
Serie_1,3.7744966442953016,-2955.2277746171962,2.5,0.965,0.2
Serie_1,3.7932885906040266,-2955.4438995402934,2.5,0.965,0.2
Serie_1,3.8120805369127515,-2955.6636838781747,2.5,0.965,0.2
Serie_1,3.8308724832214764,-2955.887124606724,2.5,0.965,0.2
Serie_1,3.8496644295302014,-2956.1142187044034,2.5,0.965,0.2
Serie_1,3.8684563758389263,-2956.3449631522953,2.5,0.965,0.2
Serie_1,3.8872483221476504,-2956.579354934006,2.5,0.965,0.2
Serie_1,3.9060402684563753,-2956.817391035756,2.5,0.965,0.2
Serie_1,3.9248322147651002,-2957.0590684462263,2.5,0.965,0.2
Serie_1,3.943624161073825,-2957.3043841567046,2.5,0.965,0.2
Serie_1,3.96241610738255,-2957.5533351609693,2.5,0.965,0.2
Serie_1,3.981208053691275,-2957.8059184553026,2.5,0.965,0.2
Serie_1,4.0,-2958.0621310384754,2.5,0.965,0.2
Serie_2,1.2,-2233.0620972558663,3.0,0.8,0.4
Serie_2,1.218791946308725,-2231.2983116203677,3.0,0.8,0.4
Serie_2,1.2375838926174496,-2229.559533175843,3.0,0.8,0.4
Serie_2,1.2563758389261745,-2227.845631499377,3.0,0.8,0.4
Serie_2,1.2751677852348993,-2226.1564774429744,3.0,0.8,0.4
Serie_2,1.2939597315436242,-2224.4919430952996,3.0,0.8,0.4
Serie_2,1.312751677852349,-2222.8519017460494,3.0,0.8,0.4
Serie_2,1.3315436241610739,-2221.236227852762,3.0,0.8,0.4
Serie_2,1.3503355704697986,-2219.6447970097256,3.0,0.8,0.4
Serie_2,1.3691275167785235,-2218.077485918972,3.0,0.8,0.4
Serie_2,1.3879194630872482,-2216.53417236309,3.0,0.8,0.4
Serie_2,1.4067114093959732,-2215.0147351797145,3.0,0.8,0.4
Serie_2,1.4255033557046979,-2213.5190542375653,3.0,0.8,0.4
Serie_2,1.4442953020134228,-2212.0470104139454,3.0,0.8,0.4
Serie_2,1.4630872483221475,-2210.5984855735132,3.0,0.8,0.4
Serie_2,1.4818791946308725,-2209.1733625482784,3.0,0.8,0.4
Serie_2,1.5006711409395972,-2207.771525118709,3.0,0.8,0.4
Serie_2,1.5194630872483221,-2206.392857995879,3.0,0.8,0.4
Serie_2,1.5382550335570468,-2205.0372468045252,3.0,0.8,0.4
Serie_2,1.5570469798657718,-2203.704578067013,3.0,0.8,0.4
Serie_2,1.5758389261744965,-2202.39473918808,3.0,0.8,0.4
Serie_2,1.5946308724832214,-2201.10761844034,3.0,0.8,0.4
Serie_2,1.6134228187919462,-2199.8431049505025,3.0,0.8,0.4
Serie_2,1.632214765100671,-2198.601088686144,3.0,0.8,0.4
Serie_2,1.651006711409396,-2197.381460443195,3.0,0.8,0.4
Serie_2,1.6697986577181207,-2196.184111833835,3.0,0.8,0.4
Serie_2,1.6885906040268455,-2195.0089352750247,3.0,0.8,0.4
Serie_2,1.7073825503355704,-2193.855823977426,3.0,0.8,0.4
Serie_2,1.7261744966442953,-2192.724671934777,3.0,0.8,0.4
Serie_2,1.74496644295302,-2191.615373913705,3.0,0.8,0.4
Serie_2,1.7637583892617448,-2190.5278254438826,3.0,0.8,0.4
Serie_2,1.7825503355704697,-2189.4619228085376,3.0,0.8,0.4
Serie_2,1.8013422818791947,-2188.417563035326,3.0,0.8,0.4
Serie_2,1.8201342281879194,-2187.394643887467,3.0,0.8,0.4
Serie_2,1.838926174496644,-2186.3930638552,3.0,0.8,0.4
Serie_2,1.857718120805369,-2185.4127221474937,3.0,0.8,0.4
Serie_2,1.876510067114094,-2184.453518683988,3.0,0.8,0.4
Serie_2,1.8953020134228187,-2183.5153540872157,3.0,0.8,0.4
Serie_2,1.9140939597315434,-2182.598129674993,3.0,0.8,0.4
Serie_2,1.9328859060402683,-2181.70174745303,3.0,0.8,0.4
Serie_2,1.9516778523489933,-2180.8261101077774,3.0,0.8,0.4
Serie_2,1.970469798657718,-2179.97112099938,3.0,0.8,0.4
Serie_2,1.9892617449664427,-2179.1366841548643,3.0,0.8,0.4
Serie_2,2.0080536912751676,-2178.3227042614503,3.0,0.8,0.4
Serie_2,2.0268456375838926,-2177.5290866600267,3.0,0.8,0.4
Serie_2,2.045637583892617,-2176.75573733878,3.0,0.8,0.4
Serie_2,2.064429530201342,-2176.002562926934,3.0,0.8,0.4
Serie_2,2.083221476510067,-2175.269470688618,3.0,0.8,0.4
Serie_2,2.102013422818792,-2174.5563685169177,3.0,0.8,0.4
Serie_2,2.120805369127517,-2173.8631649279305,3.0,0.8,0.4
Serie_2,2.1395973154362418,-2173.189769055032,3.0,0.8,0.4
Serie_2,2.1583892617449663,-2172.536090643185,3.0,0.8,0.4
Serie_2,2.177181208053691,-2171.902040043364,3.0,0.8,0.4
Serie_2,2.195973154362416,-2171.2875282071054,3.0,0.8,0.4
Serie_2,2.2147651006711406,-2170.6924666810773,3.0,0.8,0.4
Serie_2,2.2335570469798656,-2170.1167676018067,3.0,0.8,0.4
Serie_2,2.2523489932885905,-2169.5603436904394,3.0,0.8,0.4
Serie_2,2.2711409395973154,-2169.0231082475975,3.0,0.8,0.4
Serie_2,2.2899328859060404,-2168.5049751483293,3.0,0.8,0.4
Serie_2,2.308724832214765,-2168.0058588370935,3.0,0.8,0.4
Serie_2,2.32751677852349,-2167.5256743228333,3.0,0.8,0.4
Serie_2,2.3463087248322143,-2167.0643371741257,3.0,0.8,0.4
Serie_2,2.3651006711409392,-2166.6217635143844,3.0,0.8,0.4
Serie_2,2.383892617449664,-2166.1978700171194,3.0,0.8,0.4
Serie_2,2.402684563758389,-2165.792573901271,3.0,0.8,0.4
Serie_2,2.421476510067114,-2165.4057929265887,3.0,0.8,0.4
Serie_2,2.440268456375839,-2165.0374453890704,3.0,0.8,0.4
Serie_2,2.459060402684564,-2164.6874501164802,3.0,0.8,0.4
Serie_2,2.4778523489932884,-2164.355726463852,3.0,0.8,0.4
Serie_2,2.4966442953020134,-2164.042194309132,3.0,0.8,0.4
Serie_2,2.515436241610738,-2163.7467740488064,3.0,0.8,0.4
Serie_2,2.534228187919463,-2163.4693865936074,3.0,0.8,0.4
Serie_2,2.5530201342281877,-2163.2099533642518,3.0,0.8,0.4
Serie_2,2.5718120805369127,-2162.9683962872487,3.0,0.8,0.4
Serie_2,2.5906040268456376,-2162.7446377907063,3.0,0.8,0.4
Serie_2,2.6093959731543626,-2162.5386008002447,3.0,0.8,0.4
Serie_2,2.628187919463087,-2162.3502087349175,3.0,0.8,0.4
Serie_2,2.646979865771812,-2162.179385503138,3.0,0.8,0.4
Serie_2,2.6657718120805365,-2162.026055498743,3.0,0.8,0.4
Serie_2,2.6845637583892614,-2161.890143597005,3.0,0.8,0.4
Serie_2,2.7033557046979864,-2161.771575150729,3.0,0.8,0.4
Serie_2,2.7221476510067113,-2161.6702759863883,3.0,0.8,0.4
Serie_2,2.7409395973154362,-2161.5861724002757,3.0,0.8,0.4
Serie_2,2.759731543624161,-2161.5191911547017,3.0,0.8,0.4
Serie_2,2.7785234899328857,-2161.4692594742755,3.0,0.8,0.4
Serie_2,2.7973154362416106,-2161.43630504212,3.0,0.8,0.4
Serie_2,2.816107382550335,-2161.420255996233,3.0,0.8,0.4
Serie_2,2.83489932885906,-2161.4210409258117,3.0,0.8,0.4
Serie_2,2.853691275167785,-2161.4385888676316,3.0,0.8,0.4
Serie_2,2.87248322147651,-2161.472829302479,3.0,0.8,0.4
Serie_2,2.891275167785235,-2161.5236921515943,3.0,0.8,0.4
Serie_2,2.91006711409396,-2161.591107773145,3.0,0.8,0.4
Serie_2,2.9288590604026843,-2161.675006958753,3.0,0.8,0.4
Serie_2,2.9476510067114092,-2161.7753209300486,3.0,0.8,0.4
Serie_2,2.9664429530201337,-2161.8919813352163,3.0,0.8,0.4
Serie_2,2.9852348993288587,-2162.024920245677,3.0,0.8,0.4
Serie_2,3.0040268456375836,-2162.174070152644,3.0,0.8,0.4
Serie_2,3.0228187919463085,-2162.3393639638575,3.0,0.8,0.4
Serie_2,3.0416107382550335,-2162.520735000282,3.0,0.8,0.4
Serie_2,3.0604026845637584,-2162.718116992812,3.0,0.8,0.4
Serie_2,3.0791946308724834,-2162.931444079075,3.0,0.8,0.4
Serie_2,3.097986577181208,-2163.1606508001823,3.0,0.8,0.4
Serie_2,3.116778523489933,-2163.4056720975937,3.0,0.8,0.4
Serie_2,3.1355704697986573,-2163.6664433099527,3.0,0.8,0.4
Serie_2,3.154362416107382,-2163.942900169954,3.0,0.8,0.4
Serie_2,3.173154362416107,-2164.2349788012593,3.0,0.8,0.4
Serie_2,3.191946308724832,-2164.542615715464,3.0,0.8,0.4
Serie_2,3.210738255033557,-2164.8657478090054,3.0,0.8,0.4
Serie_2,3.229530201342282,-2165.204312360196,3.0,0.8,0.4
Serie_2,3.248322147651007,-2165.5582470262343,3.0,0.8,0.4
Serie_2,3.267114093959731,-2165.927489840245,3.0,0.8,0.4
Serie_2,3.285906040268456,-2166.3119792083353,3.0,0.8,0.4
Serie_2,3.304697986577181,-2166.7116539067315,3.0,0.8,0.4
Serie_2,3.3234899328859058,-2167.1264530788703,3.0,0.8,0.4
Serie_2,3.3422818791946307,-2167.5563162325557,3.0,0.8,0.4
Serie_2,3.3610738255033556,-2168.0011832371483,3.0,0.8,0.4
Serie_2,3.3798657718120806,-2168.4609943207447,3.0,0.8,0.4
Serie_2,3.3986577181208055,-2168.935690067419,3.0,0.8,0.4
Serie_2,3.4174496644295296,-2169.425211414475,3.0,0.8,0.4
Serie_2,3.4362416107382545,-2169.929499649694,3.0,0.8,0.4
Serie_2,3.4550335570469795,-2170.448496408684,3.0,0.8,0.4
Serie_2,3.4738255033557044,-2170.982143672155,3.0,0.8,0.4
Serie_2,3.4926174496644293,-2171.5303837632873,3.0,0.8,0.4
Serie_2,3.5114093959731543,-2172.0931593451087,3.0,0.8,0.4
Serie_2,3.530201342281879,-2172.6704134178685,3.0,0.8,0.4
Serie_2,3.548993288590604,-2173.2620893164803,3.0,0.8,0.4
Serie_2,3.567785234899328,-2173.8681307079446,3.0,0.8,0.4
Serie_2,3.586577181208053,-2174.488481588817,3.0,0.8,0.4
Serie_2,3.605369127516778,-2175.1230862827006,3.0,0.8,0.4
Serie_2,3.624161073825503,-2175.771889437735,3.0,0.8,0.4
Serie_2,3.642953020134228,-2176.434836024164,3.0,0.8,0.4
Serie_2,3.661744966442953,-2177.111871331838,3.0,0.8,0.4
Serie_2,3.680536912751678,-2177.8029409678384,3.0,0.8,0.4
Serie_2,3.6993288590604028,-2178.507990854039,3.0,0.8,0.4
Serie_2,3.7181208053691277,-2179.226967224731,3.0,0.8,0.4
Serie_2,3.7369127516778518,-2179.959816624275,3.0,0.8,0.4
Serie_2,3.7557046979865767,-2180.7064859047337,3.0,0.8,0.4
Serie_2,3.7744966442953016,-2181.4669222235934,3.0,0.8,0.4
Serie_2,3.7932885906040266,-2182.241073041417,3.0,0.8,0.4
Serie_2,3.8120805369127515,-2183.0288861195927,3.0,0.8,0.4
Serie_2,3.8308724832214764,-2183.8303095180813,3.0,0.8,0.4
Serie_2,3.8496644295302014,-2184.6452915931545,3.0,0.8,0.4
Serie_2,3.8684563758389263,-2185.473780995188,3.0,0.8,0.4
Serie_2,3.8872483221476504,-2186.3157266664653,3.0,0.8,0.4
Serie_2,3.9060402684563753,-2187.171077838985,3.0,0.8,0.4
Serie_2,3.9248322147651002,-2188.0397840323317,3.0,0.8,0.4
Serie_2,3.943624161073825,-2188.9217950514912,3.0,0.8,0.4
Serie_2,3.96241610738255,-2189.8170609847543,3.0,0.8,0.4
Serie_2,3.981208053691275,-2190.7255322016026,3.0,0.8,0.4
Serie_2,4.0,-2191.647159350645,3.0,0.8,0.4
Serie_3,1.2,-1596.1504504783252,2.5,0.8,0.2
Serie_3,1.218791946308725,-1594.7192833854983,2.5,0.8,0.2
Serie_3,1.2375838926174496,-1593.318181745009,2.5,0.8,0.2
Serie_3,1.2563758389261745,-1591.9468262529217,2.5,0.8,0.2
Serie_3,1.2751677852348993,-1590.604904327928,2.5,0.8,0.2
Serie_3,1.2939597315436242,-1589.292109863932,2.5,0.8,0.2
Serie_3,1.312751677852349,-1588.0081429961035,2.5,0.8,0.2
Serie_3,1.3315436241610739,-1586.7527098795404,2.5,0.8,0.2
Serie_3,1.3503355704697986,-1585.5255224795726,2.5,0.8,0.2
Serie_3,1.3691275167785235,-1584.3262983729417,2.5,0.8,0.2
Serie_3,1.3879194630872482,-1583.1547605591259,2.5,0.8,0.2
Serie_3,1.4067114093959732,-1582.0106372810928,2.5,0.8,0.2
Serie_3,1.4255033557046979,-1580.8936618548807,2.5,0.8,0.2
Serie_3,1.4442953020134228,-1579.803572507459,2.5,0.8,0.2
Serie_3,1.4630872483221475,-1578.7401122222698,2.5,0.8,0.2
Serie_3,1.4818791946308725,-1577.7030285920648,2.5,0.8,0.2
Serie_3,1.5006711409395972,-1576.6920736784846,2.5,0.8,0.2
Serie_3,1.5194630872483221,-1575.7070038780398,2.5,0.8,0.2
Serie_3,1.5382550335570468,-1574.747579794099,2.5,0.8,0.2
Serie_3,1.5570469798657718,-1573.813566114476,2.5,0.8,0.2
Serie_3,1.5758389261744965,-1572.904731494374,2.5,0.8,0.2
Serie_3,1.5946308724832214,-1572.020848444298,2.5,0.8,0.2
Serie_3,1.6134228187919462,-1571.1616932227012,2.5,0.8,0.2
Serie_3,1.632214765100671,-1570.327045733078,2.5,0.8,0.2
Serie_3,1.651006711409396,-1569.5166894252932,2.5,0.8,0.2
Serie_3,1.6697986577181207,-1568.7304112008605,2.5,0.8,0.2
Serie_3,1.6885906040268455,-1567.9680013219934,2.5,0.8,0.2
Serie_3,1.7073825503355704,-1567.229253324248,2.5,0.8,0.2
Serie_3,1.7261744966442953,-1566.5139639325105,2.5,0.8,0.2
Serie_3,1.74496644295302,-1565.8219329802057,2.5,0.8,0.2
Serie_3,1.7637583892617448,-1565.1529633315754,2.5,0.8,0.2
Serie_3,1.7825503355704697,-1564.5068608067836,2.5,0.8,0.2
Serie_3,1.8013422818791947,-1563.8834341098236,2.5,0.8,0.2
Serie_3,1.8201342281879194,-1563.282494759015,2.5,0.8,0.2
