series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.6151518987341772,50,16,-8039.413064194901,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,17,-8213.682551071834,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,18,-8133.255695737186,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,19,-8106.3006893947395,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,20,-8132.679357380775,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,21,-8118.272656879789,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,22,-8232.81073653273,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,23,-8066.286738279213,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,24,-8079.75091281589,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,25,-8126.222201832132,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,26,-8283.950037293236,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,27,-8147.521740161928,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,28,-8060.95948713463,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,29,-7980.982240650661,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,0,-7919.543443146868,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,1,-7900.0873032783065,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,2,-7876.349218150192,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,3,-7872.253310516901,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,4,-7986.337536583125,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,5,-7939.57767764332,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,6,-8079.94082020602,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,7,-7862.1268352702555,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,8,-7869.105362442767,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,9,-7820.209059444036,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,10,-8012.412997836299,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,11,-7878.23437227588,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,12,-7865.101425927914,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,13,-8012.805404070636,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,14,-7987.169366476283,0.965,2.5,0.2
