series,phi,loglik_exact,phi_true,nu,c
Serie_1,0.8185477386934673,-3409.198236866397,0.965,2.5,0.2
Serie_1,0.8205527638190955,-3396.7243339261536,0.965,2.5,0.2
Serie_1,0.8225577889447236,-3384.4263528774027,0.965,2.5,0.2
Serie_1,0.8245628140703518,-3372.3041622604683,0.965,2.5,0.2
Serie_1,0.8265678391959799,-3360.3576268357992,0.965,2.5,0.2
Serie_1,0.828572864321608,-3348.5866075965682,0.965,2.5,0.2
Serie_1,0.8305778894472362,-3336.990961782422,0.965,2.5,0.2
Serie_1,0.8325829145728643,-3325.5705428944784,0.965,2.5,0.2
Serie_1,0.8345879396984924,-3314.3252007115484,0.965,2.5,0.2
Serie_1,0.8365929648241206,-3303.254781307721,0.965,2.5,0.2
Serie_1,0.8385979899497488,-3292.359127071225,0.965,2.5,0.2
Serie_1,0.8406030150753769,-3281.638076724857,0.965,2.5,0.2
Serie_1,0.842608040201005,-3271.091465347875,0.965,2.5,0.2
Serie_1,0.8446130653266332,-3260.7191243993775,0.965,2.5,0.2
Serie_1,0.8466180904522613,-3250.520881743546,0.965,2.5,0.2
Serie_1,0.8486231155778894,-3240.496561676432,0.965,2.5,0.2
Serie_1,0.8506281407035176,-3230.6459849548046,0.965,2.5,0.2
Serie_1,0.8526331658291457,-3220.9689688268527,0.965,2.5,0.2
Serie_1,0.8546381909547738,-3211.4653270649574,0.965,2.5,0.2
Serie_1,0.8566432160804021,-3202.1348700008175,0.965,2.5,0.2
Serie_1,0.8586482412060301,-3192.977404562784,0.965,2.5,0.2
Serie_1,0.8606532663316583,-3183.9927343158893,0.965,2.5,0.2
Serie_1,0.8626582914572865,-3175.180659504409,0.965,2.5,0.2
Serie_1,0.8646633165829145,-3166.540977097495,0.965,2.5,0.2
Serie_1,0.8666683417085428,-3158.0734808377965,0.965,2.5,0.2
Serie_1,0.8686733668341708,-3149.7779612935365,0.965,2.5,0.2
Serie_1,0.870678391959799,-3141.6542059141234,0.965,2.5,0.2
Serie_1,0.8726834170854272,-3133.7019990897597,0.965,2.5,0.2
Serie_1,0.8746884422110552,-3125.9211222152435,0.965,2.5,0.2
Serie_1,0.8766934673366834,-3118.3113537584186,0.965,2.5,0.2
Serie_1,0.8786984924623116,-3110.872469333609,0.965,2.5,0.2
Serie_1,0.8807035175879396,-3103.6042417805434,0.965,2.5,0.2
Serie_1,0.8827085427135679,-3096.5064412492643,0.965,2.5,0.2
Serie_1,0.884713567839196,-3089.5788352916043,0.965,2.5,0.2
Serie_1,0.8867185929648241,-3082.8211889598333,0.965,2.5,0.2
Serie_1,0.8887236180904523,-3076.233264913212,0.965,2.5,0.2
Serie_1,0.8907286432160804,-3069.8148235333697,0.965,2.5,0.2
Serie_1,0.8927336683417085,-3063.565623049203,0.965,2.5,0.2
Serie_1,0.8947386934673367,-3057.485419672607,0.965,2.5,0.2
Serie_1,0.8967437185929648,-3051.5739677459683,0.965,2.5,0.2
Serie_1,0.898748743718593,-3045.831019903021,0.965,2.5,0.2
Serie_1,0.9007537688442211,-3040.2563272443545,0.965,2.5,0.2
Serie_1,0.9027587939698493,-3034.849639529525,0.965,2.5,0.2
Serie_1,0.9047638190954774,-3029.6107053876635,0.965,2.5,0.2
Serie_1,0.9067688442211055,-3024.539272548956,0.965,2.5,0.2
Serie_1,0.9087738693467337,-3019.6350880997043,0.965,2.5,0.2
Serie_1,0.9107788944723618,-3014.8978987638548,0.965,2.5,0.2
Serie_1,0.9127839195979899,-3010.3274512148846,0.965,2.5,0.2
Serie_1,0.9147889447236182,-3005.9234924218913,0.965,2.5,0.2
Serie_1,0.9167939698492462,-3001.685770034937,0.965,2.5,0.2
Serie_1,0.9187989949748744,-2997.6140328152987,0.965,2.5,0.2
Serie_1,0.9208040201005026,-2993.7080311171844,0.965,2.5,0.2
Serie_1,0.9228090452261306,-2989.9675174289764,0.965,2.5,0.2
Serie_1,0.9248140703517588,-2986.392246983167,0.965,2.5,0.2
Serie_1,0.926819095477387,-2982.981978446187,0.965,2.5,0.2
Serie_1,0.928824120603015,-2979.7364747013617,0.965,2.5,0.2
Serie_1,0.9308291457286433,-2976.6555037408207,0.965,2.5,0.2
Serie_1,0.9328341708542713,-2973.738839685716,0.965,2.5,0.2
Serie_1,0.9348391959798995,-2970.9862639578632,0.965,2.5,0.2
Serie_1,0.9368442211055277,-2968.39756663121,0.965,2.5,0.2
Serie_1,0.9388492462311557,-2965.9725479979365,0.965,2.5,0.2
Serie_1,0.9408542713567839,-2963.7110203919747,0.965,2.5,0.2
Serie_1,0.9428592964824121,-2961.6128103233273,0.965,2.5,0.2
Serie_1,0.9448643216080401,-2959.677760989588,0.965,2.5,0.2
Serie_1,0.9468693467336684,-2957.905735248633,0.965,2.5,0.2
Serie_1,0.9488743718592965,-2956.296619158796,0.965,2.5,0.2
Serie_1,0.9508793969849246,-2954.850326222861,0.965,2.5,0.2
Serie_1,0.9528844221105528,-2953.566802511673,0.965,2.5,0.2
Serie_1,0.9548894472361809,-2952.4460328969008,0.965,2.5,0.2
Serie_1,0.956894472361809,-2951.4880486949996,0.965,2.5,0.2
Serie_1,0.9588994974874372,-2950.6929371243673,0.965,2.5,0.2
Serie_1,0.9609045226130652,-2950.060853116116,0.965,2.5,0.2
Serie_1,0.9629095477386935,-2949.5920342122245,0.965,2.5,0.2
Serie_1,0.9649145728643216,-2949.2868195555043,0.965,2.5,0.2
Serie_1,0.9669195979899498,-2949.1456743532244,0.965,2.5,0.2
Serie_1,0.9689246231155779,-2949.16922171383,0.965,2.5,0.2
Serie_1,0.970929648241206,-2949.3582844368852,0.965,2.5,0.2
Serie_1,0.9729346733668341,-2949.713940154502,0.965,2.5,0.2
Serie_1,0.9749396984924623,-2950.237594003779,0.965,2.5,0.2
Serie_1,0.9769447236180904,-2950.931073216573,0.965,2.5,0.2
Serie_1,0.9789497487437187,-2951.7967463389896,0.965,2.5,0.2
Serie_1,0.9809547738693467,-2952.8376635439035,0.965,2.5,0.2
Serie_1,0.9829597989949749,-2954.05769910069,0.965,2.5,0.2
Serie_1,0.984964824120603,-2955.4616470295255,0.965,2.5,0.2
Serie_1,0.9869698492462311,-2957.0551755171264,0.965,2.5,0.2
Serie_1,0.9889748743718594,-2958.8445026080353,0.965,2.5,0.2
Serie_1,0.9909798994974874,-2960.8356678047053,0.965,2.5,0.2
Serie_1,0.9929849246231156,-2963.033415390946,0.965,2.5,0.2
Serie_1,0.9949899497487438,-2965.439980162718,0.965,2.5,0.2
Serie_1,0.9969949748743718,-2968.054295506524,0.965,2.5,0.2
Serie_1,0.999,-2970.8720497113627,0.965,2.5,0.2
Serie_2,0.6,-2301.5028333568152,0.8,3.0,0.4
Serie_2,0.6020050251256281,-2298.646577546306,0.8,3.0,0.4
Serie_2,0.6040100502512563,-2295.8190014495826,0.8,3.0,0.4
Serie_2,0.6060150753768844,-2293.020144633839,0.8,3.0,0.4
Serie_2,0.6080201005025125,-2290.2500461974446,0.8,3.0,0.4
Serie_2,0.6100251256281407,-2287.5087447659334,0.8,3.0,0.4
Serie_2,0.6120301507537689,-2284.796278488072,0.8,3.0,0.4
Serie_2,0.6140351758793969,-2282.1126850318547,0.8,3.0,0.4
Serie_2,0.6160402010050251,-2279.4580015806864,0.8,3.0,0.4
Serie_2,0.6180452261306533,-2276.8322648295057,0.8,3.0,0.4
Serie_2,0.6200502512562814,-2274.235510981021,0.8,3.0,0.4
Serie_2,0.6220552763819095,-2271.667775741969,0.8,3.0,0.4
Serie_2,0.6240603015075377,-2269.1290943194203,0.8,3.0,0.4
Serie_2,0.6260653266331658,-2266.6195014171753,0.8,3.0,0.4
Serie_2,0.628070351758794,-2264.13903123213,0.8,3.0,0.4
Serie_2,0.6300753768844221,-2261.6877174508063,0.8,3.0,0.4
Serie_2,0.6320804020100502,-2259.2655932458415,0.8,3.0,0.4
Serie_2,0.6340854271356784,-2256.872691272576,0.8,3.0,0.4
Serie_2,0.6360904522613066,-2254.5090436656787,0.8,3.0,0.4
Serie_2,0.6380954773869346,-2252.1746820358408,0.8,3.0,0.4
Serie_2,0.6401005025125628,-2249.869637466532,0.8,3.0,0.4
Serie_2,0.642105527638191,-2247.593940510797,0.8,3.0,0.4
Serie_2,0.6441105527638191,-2245.347621188082,0.8,3.0,0.4
Serie_2,0.6461155778894472,-2243.1307089812144,0.8,3.0,0.4
Serie_2,0.6481206030150753,-2240.9432328333346,0.8,3.0,0.4
Serie_2,0.6501256281407035,-2238.7852211449435,0.8,3.0,0.4
Serie_2,0.6521306532663317,-2236.6567017710126,0.8,3.0,0.4
Serie_2,0.6541356783919597,-2234.5577020181327,0.8,3.0,0.4
Serie_2,0.6561407035175879,-2232.488248641745,0.8,3.0,0.4
Serie_2,0.6581457286432161,-2230.448367843412,0.8,3.0,0.4
Serie_2,0.6601507537688442,-2228.4380852681943,0.8,3.0,0.4
Serie_2,0.6621557788944723,-2226.4574260020395,0.8,3.0,0.4
Serie_2,0.6641608040201005,-2224.5064145692863,0.8,3.0,0.4
Serie_2,0.6661658291457286,-2222.58507493019,0.8,3.0,0.4
Serie_2,0.6681708542713568,-2220.6934304785605,0.8,3.0,0.4
Serie_2,0.6701758793969849,-2218.8315040394314,0.8,3.0,0.4
Serie_2,0.672180904522613,-2216.9993178668274,0.8,3.0,0.4
Serie_2,0.6741859296482412,-2215.1968936415674,0.8,3.0,0.4
Serie_2,0.6761909547738694,-2213.4242524692013,0.8,3.0,0.4
Serie_2,0.6781959798994974,-2211.6814148779313,0.8,3.0,0.4
Serie_2,0.6802010050251256,-2209.968400816688,0.8,3.0,0.4
Serie_2,0.6822060301507538,-2208.285229653234,0.8,3.0,0.4
Serie_2,0.6842110552763819,-2206.631920172361,0.8,3.0,0.4
Serie_2,0.68621608040201,-2205.0084905741705,0.8,3.0,0.4
Serie_2,0.6882211055276382,-2203.414958472396,0.8,3.0,0.4
Serie_2,0.6902261306532663,-2201.8513408928493,0.8,3.0,0.4
Serie_2,0.6922311557788945,-2200.3176542719257,0.8,3.0,0.4
Serie_2,0.6942361809045225,-2198.8139144552006,0.8,3.0,0.4
Serie_2,0.6962412060301507,-2197.3401366960743,0.8,3.0,0.4
Serie_2,0.6982462311557789,-2195.8963356545596,0.8,3.0,0.4
Serie_2,0.700251256281407,-2194.4825253961126,0.8,3.0,0.4
Serie_2,0.7022562814070352,-2193.0987193905485,0.8,3.0,0.4
Serie_2,0.7042613065326633,-2191.7449305110813,0.8,3.0,0.4
Serie_2,0.7062663316582914,-2190.421171033412,0.8,3.0,0.4
Serie_2,0.7082713567839196,-2189.127452634937,0.8,3.0,0.4
Serie_2,0.7102763819095477,-2187.863786394029,0.8,3.0,0.4
Serie_2,0.7122814070351758,-2186.6301827894454,0.8,3.0,0.4
Serie_2,0.714286432160804,-2185.4266516997864,0.8,3.0,0.4
Serie_2,0.7162914572864322,-2184.253202403075,0.8,3.0,0.4
Serie_2,0.7182964824120603,-2183.1098435764734,0.8,3.0,0.4
Serie_2,0.7203015075376884,-2181.9965832960197,0.8,3.0,0.4
Serie_2,0.7223065326633166,-2180.9134290365296,0.8,3.0,0.4
Serie_2,0.7243115577889447,-2179.86038767161,0.8,3.0,0.4
Serie_2,0.7263165829145728,-2178.837465473742,0.8,3.0,0.4
Serie_2,0.728321608040201,-2177.84466811448,0.8,3.0,0.4
Serie_2,0.7303266331658291,-2176.882000664797,0.8,3.0,0.4
Serie_2,0.7323316582914573,-2175.9494675955257,0.8,3.0,0.4
Serie_2,0.7343366834170855,-2175.0470727779016,0.8,3.0,0.4
Serie_2,0.7363417085427135,-2174.174819484235,0.8,3.0,0.4
Serie_2,0.7383467336683417,-2173.3327103887477,0.8,3.0,0.4
Serie_2,0.7403517587939699,-2172.520747568468,0.8,3.0,0.4
Serie_2,0.7423567839195979,-2171.7389325043105,0.8,3.0,0.4
Serie_2,0.7443618090452261,-2170.9872660822502,0.8,3.0,0.4
Serie_2,0.7463668341708543,-2170.2657485946665,0.8,3.0,0.4
Serie_2,0.7483718592964824,-2169.574379741801,0.8,3.0,0.4
Serie_2,0.7503768844221106,-2168.913158633392,0.8,3.0,0.4
Serie_2,0.7523819095477386,-2168.2820837904064,0.8,3.0,0.4
Serie_2,0.7543869346733668,-2167.68115314697,0.8,3.0,0.4
Serie_2,0.756391959798995,-2167.1103640524384,0.8,3.0,0.4
Serie_2,0.758396984924623,-2166.5697132736304,0.8,3.0,0.4
Serie_2,0.7604020100502512,-2166.059196997234,0.8,3.0,0.4
Serie_2,0.7624070351758794,-2165.5788108323536,0.8,3.0,0.4
Serie_2,0.7644120603015075,-2165.1285498132997,0.8,3.0,0.4
Serie_2,0.7664170854271357,-2164.708408402479,0.8,3.0,0.4
Serie_2,0.7684221105527638,-2164.318380493566,0.8,3.0,0.4
Serie_2,0.7704271356783919,-2163.9584594147864,0.8,3.0,0.4
Serie_2,0.7724321608040201,-2163.628637932467,0.8,3.0,0.4
Serie_2,0.7744371859296482,-2163.3289082547517,0.8,3.0,0.4
Serie_2,0.7764422110552763,-2163.0592620355956,0.8,3.0,0.4
Serie_2,0.7784472361809045,-2162.8196903789017,0.8,3.0,0.4
Serie_2,0.7804522613065327,-2162.610183842981,0.8,3.0,0.4
Serie_2,0.7824572864321608,-2162.4307324452147,0.8,3.0,0.4
Serie_2,0.7844623115577889,-2162.281325666973,0.8,3.0,0.4
Serie_2,0.7864673366834171,-2162.161952458813,0.8,3.0,0.4
Serie_2,0.7884723618090452,-2162.0726012459745,0.8,3.0,0.4
Serie_2,0.7904773869346733,-2162.0132599341136,0.8,3.0,0.4
Serie_2,0.7924824120603016,-2161.9839159153967,0.8,3.0,0.4
Serie_2,0.7944874371859296,-2161.9845560749022,0.8,3.0,0.4
Serie_2,0.7964924623115578,-2162.0151667973337,0.8,3.0,0.4
Serie_2,0.798497487437186,-2162.075733974103,0.8,3.0,0.4
Serie_2,0.800502512562814,-2162.166243010788,0.8,3.0,0.4
Serie_2,0.8025075376884422,-2162.2866788349675,0.8,3.0,0.4
Serie_2,0.8045125628140704,-2162.4370259044426,0.8,3.0,0.4
Serie_2,0.8065175879396985,-2162.617268215942,0.8,3.0,0.4
Serie_2,0.8085226130653267,-2162.827389314238,0.8,3.0,0.4
Serie_2,0.8105276381909547,-2163.0673723017208,0.8,3.0,0.4
Serie_2,0.8125326633165829,-2163.3371998485354,0.8,3.0,0.4
Serie_2,0.8145376884422111,-2163.6368542031914,0.8,3.0,0.4
Serie_2,0.8165427135678391,-2163.9663172037867,0.8,3.0,0.4
Serie_2,0.8185477386934673,-2164.325570289759,0.8,3.0,0.4
Serie_2,0.8205527638190955,-2164.7145945143607,0.8,3.0,0.4
Serie_2,0.8225577889447236,-2165.13337055769,0.8,3.0,0.4
Serie_2,0.8245628140703518,-2165.5818787405597,0.8,3.0,0.4
Serie_2,0.8265678391959799,-2166.0600990389944,0.8,3.0,0.4
Serie_2,0.828572864321608,-2166.5680110996436,0.8,3.0,0.4
Serie_2,0.8305778894472362,-2167.105594255959,0.8,3.0,0.4
Serie_2,0.8325829145728643,-2167.672827545367,0.8,3.0,0.4
Serie_2,0.8345879396984924,-2168.2696897273568,0.8,3.0,0.4
Serie_2,0.8365929648241206,-2168.896159302641,0.8,3.0,0.4
Serie_2,0.8385979899497488,-2169.552214533415,0.8,3.0,0.4
Serie_2,0.8406030150753769,-2170.2378334648356,0.8,3.0,0.4
Serie_2,0.842608040201005,-2170.9529939477643,0.8,3.0,0.4
Serie_2,0.8446130653266332,-2171.6976736628862,0.8,3.0,0.4
Serie_2,0.8466180904522613,-2172.471850146315,0.8,3.0,0.4
Serie_2,0.8486231155778894,-2173.2755008167933,0.8,3.0,0.4
Serie_2,0.8506281407035176,-2174.1086030045867,0.8,3.0,0.4
Serie_2,0.8526331658291457,-2174.971133982259,0.8,3.0,0.4
Serie_2,0.8546381909547738,-2175.8630709974045,0.8,3.0,0.4
Serie_2,0.8566432160804021,-2176.7843913075926,0.8,3.0,0.4
Serie_2,0.8586482412060301,-2177.7350722175797,0.8,3.0,0.4
Serie_2,0.8606532663316583,-2178.715091119108,0.8,3.0,0.4
Serie_2,0.8626582914572865,-2179.7244255334435,0.8,3.0,0.4
Serie_2,0.8646633165829145,-2180.7630531568693,0.8,3.0,0.4
Serie_2,0.8666683417085428,-2181.8309519094564,0.8,3.0,0.4
Serie_2,0.8686733668341708,-2182.928099987372,0.8,3.0,0.4
Serie_2,0.870678391959799,-2184.0544759190147,0.8,3.0,0.4
Serie_2,0.8726834170854272,-2185.2100586254187,0.8,3.0,0.4
Serie_2,0.8746884422110552,-2186.394827485236,0.8,3.0,0.4
Serie_2,0.8766934673366834,-2187.608762404783,0.8,3.0,0.4
Serie_2,0.8786984924623116,-2188.851843893659,0.8,3.0,0.4
Serie_2,0.8807035175879396,-2190.124053146415,0.8,3.0,0.4
Serie_2,0.8827085427135679,-2191.425372130992,0.8,3.0,0.4
Serie_2,0.884713567839196,-2192.7557836845317,0.8,3.0,0.4
Serie_2,0.8867185929648241,-2194.115271617372,0.8,3.0,0.4
Serie_2,0.8887236180904523,-2195.503820826111,0.8,3.0,0.4
Serie_2,0.8907286432160804,-2196.9214174166727,0.8,3.0,0.4
Serie_2,0.8927336683417085,-2198.368048838553,0.8,3.0,0.4
Serie_2,0.8947386934673367,-2199.843704031426,0.8,3.0,0.4
Serie_2,0.8967437185929648,-2201.3483735856416,0.8,3.0,0.4
Serie_2,0.898748743718593,-2202.8820499180806,0.8,3.0,0.4
Serie_2,0.9007537688442211,-2204.4447274653958,0.8,3.0,0.4
Serie_2,0.9027587939698493,-2206.036402896613,0.8,3.0,0.4
Serie_2,0.9047638190954774,-2207.6570753475858,0.8,3.0,0.4
Serie_2,0.9067688442211055,-2209.306746680064,0.8,3.0,0.4
Serie_2,0.9087738693467337,-2210.985421768568,0.8,3.0,0.4
