series,beta_index,beta_value,N,rep,loglik_pf,phi_fixed,nu,c,beta_true_j
Serie_3,1,-0.5899497487437185,500,2,-2197.818850729107,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,3,-2198.3464730088654,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,4,-2190.9489487107785,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,5,-2193.062152652014,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,6,-2199.0848872885776,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,7,-2198.228134956019,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,8,-2193.4034295185456,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,9,-2197.4645613063244,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,10,-2193.67797301707,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,11,-2193.8439704128145,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,12,-2196.165044667469,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,13,-2195.7223869610975,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,14,-2196.045617339968,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,15,-2193.2686947963807,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,16,-2198.5802405112,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,17,-2198.6340894362816,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,18,-2195.4678112225565,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,19,-2194.139084772842,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,20,-2196.302343986523,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,21,-2197.7015029582494,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,22,-2196.242519003608,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,23,-2193.702020807088,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,24,-2198.068813852572,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,25,-2193.184095627603,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,26,-2194.602297447897,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,27,-2196.5392673450324,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,28,-2198.2293373930706,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,29,-2197.0369236732404,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,0,-2184.339388696457,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,1,-2181.531707138516,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,2,-2183.8852989820325,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,3,-2181.814960282037,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,4,-2184.9361038296493,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,5,-2181.4724003094307,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,6,-2188.71439925458,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,7,-2183.70612069745,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,8,-2192.4158128349995,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,9,-2183.317203976329,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,10,-2183.517702460276,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,11,-2187.7225567843734,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,12,-2182.4431906372984,0.8,2.5,0.2,0.4
Serie_3,1,-0.5798994974874372,500,13,-2184.62722616056,0.8,2.5,0.2,0.4
